mfcc_Hindia-Mata Air_0,mfcc_Hindia-Mata Air_1,mfcc_Hindia-Mata Air_2,mfcc_Hindia-Mata Air_3,mfcc_Hindia-Mata Air_4,mfcc_Hindia-Mata Air_5,mfcc_Hindia-Mata Air_6,mfcc_Hindia-Mata Air_7,mfcc_Hindia-Mata Air_8,mfcc_Hindia-Mata Air_9,mfcc_Hindia-Mata Air_10,mfcc_Hindia-Mata Air_11,mfcc_Hindia-Mata Air_12,mfcc_Hindia-Mata Air_13,mfcc_Hindia-Mata Air_14,mfcc_Hindia-Mata Air_15,mfcc_Hindia-Mata Air_16,mfcc_Hindia-Mata Air_17,mfcc_Hindia-Mata Air_18,mfcc_Hindia-Mata Air_19,mfcc_Hindia-Mata Air_20,mfcc_Hindia-Mata Air_21,mfcc_Hindia-Mata Air_22,mfcc_Hindia-Mata Air_23,mfcc_Hindia-Mata Air_24,mfcc_Hindia-Mata Air_25,mfcc_Hindia-Mata Air_26,mfcc_Hindia-Mata Air_27,mfcc_Hindia-Mata Air_28,mfcc_Hindia-Mata Air_29,mfcc_Hindia-Mata Air_30,mfcc_Hindia-Mata Air_31,mfcc_Hindia-Mata Air_32,mfcc_Hindia-Mata Air_33,mfcc_Hindia-Mata Air_34,mfcc_Hindia-Mata Air_35,mfcc_Hindia-Mata Air_36,mfcc_Hindia-Mata Air_37,mfcc_Hindia-Mata Air_38,mfcc_Hindia-Mata Air_39,mfcc_Hindia-Mata Air_40,mfcc_Hindia-Mata Air_41,mfcc_Hindia-Mata Air_42,mfcc_Hindia-Mata Air_43,mfcc_Hindia-Mata Air_44,mfcc_Hindia-Mata Air_45,mfcc_Hindia-Mata Air_46,mfcc_Hindia-Mata Air_47,mfcc_Hindia-Mata Air_48,mfcc_Hindia-Mata Air_49,mfcc_Hindia-Mata Air_50,mfcc_Hindia-Mata Air_51,mfcc_Hindia-Mata Air_52,mfcc_Hindia-Mata Air_53,mfcc_Hindia-Mata Air_54,mfcc_Hindia-Mata Air_55
1.0,0.5200892,0.5392248,0.49558803,0.5244661,0.50968647,0.36239168,0.58311456,0.55454886,0.45077822,0.48557255,0.37366715,0.3044169,0.45655638,0.3334845,0.42183074,0.2900776,0.42550436,0.38477564,0.38069266,0.5685791,0.51374584,0.50062346,0.3489322,0.35774547,0.327312,0.4218358,0.111488625,0.34068936,0.3476895,0.37387305,0.35867128,0.29989702,0.3544628,0.31691086,0.3958189,0.3007724,0.21987195,0.17292535,0.3238273,0.46057716,0.27016765,0.28977975,0.4048877,0.079087645,0.50342107,0.3621802,0.3987496,0.2695776,0.3939923,0.50416964,0.5249368,0.44866738,0.34897,0.6445027,0.72441804
1.0,0.5717483,0.5627792,0.54313105,0.5369791,0.5663781,0.39519647,0.48444024,0.06889115,0.29155198,0.4277278,0.39978525,0.13303652,0.118704505,0.32549444,0.40428862,0.24380541,0.29871857,0.0,0.2944744,0.56700134,0.48651558,0.33876783,0.09814311,0.28274956,0.42959562,0.2531148,0.002923794,0.0,0.20613351,0.43111107,0.32072443,0.20813559,0.06048686,0.26675922,0.40429115,0.19690259,0.10304082,0.11010514,0.2060796,0.40088412,0.22691819,0.12682988,0.08331169,0.12740228,0.52085644,0.2524504,0.25986385,0.002436541,0.08708179,0.5449281,0.50760716,0.3320507,0.059094205,0.6479104,0.72831863
1.0,0.5532895,0.5512697,0.51891124,0.51196265,0.4900862,0.5006152,0.61700857,0.447357,0.40740496,0.49168503,0.44130096,0.3189325,0.33773172,0.38868,0.43866137,0.3773451,0.43913937,0.36483812,0.41598678,0.5752161,0.5441125,0.5042341,0.2518853,0.39239067,0.45107198,0.32544476,0.23424166,0.34467447,0.30164415,0.43089592,0.275466,0.34908247,0.3665849,0.33784306,0.38317817,0.32943514,0.28954166,0.304687,0.33389443,0.399739,0.31366733,0.26379293,0.28684467,0.20821819,0.53479236,0.35637364,0.4518832,0.28089905,0.36650193,0.5147022,0.5236847,0.48604956,0.303118,0.6416488,0.7289313
1.0,0.5189285,0.57279867,0.53252524,0.50324667,0.43974146,0.4463129,0.5113109,0.19497576,0.26684195,0.38097945,0.38034883,0.09656463,0.19101529,0.31992674,0.47542402,0.2648699,0.31167758,0.07742917,0.35356253,0.5714928,0.48019958,0.32359302,0.09979194,0.29749906,0.46005997,0.14681748,0.051082354,0.102045044,0.2556392,0.4015712,0.26750317,0.21784553,0.08106546,0.2579401,0.39721295,0.22477996,0.086265884,0.22086382,0.24878716,0.37497735,0.19928809,0.13814789,0.027082339,0.16091457,0.52066463,0.22498599,0.3016213,0.09534258,0.12380698,0.5064942,0.48547673,0.3520288,0.09364739,0.6470423,0.722229
1.0,0.55147594,0.5572505,0.5372969,0.50031,0.4198421,0.4796959,0.5954069,0.46405202,0.47065222,0.39107913,0.37854093,0.25442678,0.35265285,0.30489057,0.44138935,0.35785508,0.40115535,0.42042583,0.43373477,0.56170547,0.544652,0.49421358,0.27208862,0.42147884,0.41859922,0.25353894,0.15009534,0.35838944,0.3733357,0.44450748,0.3193733,0.29943657,0.27239695,0.30628997,0.4116792,0.25001618,0.26194575,0.20373237,0.33599558,0.3834581,0.24972576,0.26473874,0.2984963,0.15141617,0.5149202,0.28031245,0.4034057,0.21597236,0.33995318,0.5104293,0.5939607,0.4783207,0.2637797,0.66153705,0.73534924
1.0,0.52558255,0.53989786,0.5171626,0.50362563,0.4484865,0.36388415,0.49429607,0.12266428,0.2549237,0.32487223,0.28672463,0.07605353,0.14071468,0.2901058,0.43945795,0.28429887,0.2550307,0.10307629,0.28148216,0.5625811,0.47033834,0.3289693,0.10429586,0.24736689,0.40246123,0.17666501,0.15375027,0.13626675,0.21546738,0.43465653,0.25223005,0.14684197,0.0,0.26107198,0.41050503,0.1820938,0.12089838,0.122683525,0.13837749,0.3776839,0.1925602,0.06516821,0.07475081,0.07697824,0.5390742,0.21140087,0.25646326,0.044170223,0.15178478,0.49823093,0.47063458,0.30875576,0.11037729,0.6509567,0.73344636
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12997425,0.01952812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11770054,0.19854912,0.0,0.0,0.0,0.15167163,0.098684266,0.0,0.010160461,0.035968304,0.080000214,0.039998844,0.0,0.0,0.0,0.16166052,0.0,0.0,0.0,0.0,0.3180689,0.26351926,0.0,0.0,0.0,0.17419274,0.16119973,0.0,0.0,0.0,0.14093143,0.11274159,0.0,0.0,0.0,0.121298954,0.0,0.0
1.0,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,0.66487205,0.99999994,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000001,1.0,1.0,1.0,1.0,1.0,1.0000001,0.9999999,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,1.0
1.0,0.4240611,0.43893555,0.40209886,0.45624256,0.3244176,0.24446553,0.45557514,0.19667539,0.0,0.0,0.36296532,0.15436868,0.13738108,0.058760166,0.28949174,0.24216224,0.35689804,0.22457671,0.0,0.49900934,0.47778335,0.41045558,0.0,0.0,0.12331593,0.0,0.0,0.20075072,0.037980944,0.30471957,0.13503861,0.1527871,0.13845521,0.04798095,0.3322323,0.054448694,0.067399755,0.036702543,0.0,0.2617164,0.065484434,0.076483995,0.0,0.0,0.44995838,0.06739324,0.36275634,0.02369225,0.02913557,0.44594914,0.4271203,0.40085003,0.046756923,0.47537595,0.6085442
1.0,0.6628824,0.6186977,0.64078206,0.59519434,0.5599803,0.57483566,0.7338391,0.76782656,0.65625286,1.0,0.4942848,0.37576264,0.6147489,0.4187516,0.594911,0.41262132,0.5678325,0.5498061,0.46337825,0.6814106,0.6057733,0.57400453,0.40484646,0.4217481,0.78857356,0.40743127,0.45121074,0.55749655,0.28947443,0.56012595,0.45837224,0.49524313,0.51182455,0.4410733,0.5495999,0.3820956,0.33083415,0.49561048,0.4888661,0.5519574,0.43549427,0.36003685,0.35581592,0.3772961,0.62753457,0.3420424,0.56809145,0.43110603,0.32460952,0.5465798,0.75172126,0.5856681,0.48430836,0.6923197,0.744365
